fault_type,start_sample,duration_samples,fault_distance_m
overheating,4727,1,124288.8
overheating,4729,1,167966.6
overheating,4731,1,103672.0
overheating,4737,1,40757.0
overheating,4739,1,101760.8
overheating,4748,1,68163.7
overheating,4755,1,8942.3
overheating,4759,1,37878.9
overheating,4761,2,41956.4
overheating,4768,1,92481.7
overheating,4770,1,121473.9
overheating,4778,1,89460.3
cable_cut,4814,1,154596.1
anchor_drag,4816,1,58407.8
overheating,4831,1,100328.5
overheating,4833,1,78960.3
overheating,4836,1,108943.0
overheating,4840,1,151541.3
overheating,4844,1,119645.9
overheating,4851,1,13752.8
insulation_failure,4920,1,145831.7
insulation_failure,4936,1,22189.8
cable_cut,4976,1,171530.5
cable_cut,4984,1,75020.9
insulation_failure,4988,1,48304.6
insulation_failure,4997,1,141869.1
insulation_failure,5048,1,102022.7
cable_cut,5061,1,20706.8
anchor_drag,5141,1,31083.6
cable_cut,5219,1,143263.9
anchor_drag,5309,1,172736.3
insulation_failure,5334,1,168848.7
insulation_failure,5394,1,23270.8
cable_cut,5399,3,50668.1
cable_cut,5488,1,100352.7
insulation_failure,5490,1,120704.8
insulation_failure,5536,1,164193.2
insulation_failure,5615,1,16804.2
insulation_failure,5617,1,11174.8
insulation_failure,5706,1,23883.2
cable_cut,5734,1,78055.6
anchor_drag,5909,1,80204.3
insulation_failure,5941,1,94297.3
anchor_drag,5999,1,67960.9
insulation_failure,6024,1,124372.1
cable_cut,6078,1,166700.6
cable_cut,6153,1,58525.5
cable_cut,6159,1,44715.6
anchor_drag,6172,1,29431.9
insulation_failure,6178,1,194945.1
insulation_failure,6248,1,123942.6
cable_cut,6255,2,87842.5
anchor_drag,6340,1,97535.6
anchor_drag,6419,1,112326.6
insulation_failure,6478,1,88655.0
cable_cut,6497,1,107920.0
insulation_failure,6525,1,97841.2
insulation_failure,6540,1,78972.7
insulation_failure,6618,1,9136.0
cable_cut,6673,1,145750.3
insulation_failure,6678,1,151938.6
anchor_drag,6759,1,195916.0
insulation_failure,6799,1,95758.9
cable_cut,6924,1,81907.2
insulation_failure,6932,1,115829.1
insulation_failure,6990,1,38362.9
insulation_failure,7011,1,64249.6
insulation_failure,7083,1,92955.9
anchor_drag,7087,1,119051.7
cable_cut,7167,1,150094.8
insulation_failure,7280,1,198815.8
anchor_drag,7426,1,55091.1
cable_cut,7509,2,20754.2
insulation_failure,7536,1,185333.9
insulation_failure,7564,1,32603.8
insulation_failure,7569,1,196663.9
cable_cut,7591,1,141359.0
cable_cut,7593,1,131133.6
cable_cut,7669,1,81194.5
anchor_drag,7687,1,137142.0
cable_cut,7756,1,70870.0
cable_cut,7759,1,86623.8
insulation_failure,7763,1,75278.3
anchor_drag,7849,1,100766.8
insulation_failure,7884,1,68442.3
cable_cut,7926,1,134697.3
insulation_failure,7997,1,67705.2
cable_cut,8026,1,17583.8
anchor_drag,8111,1,120697.0
cable_cut,8192,1,63730.4
cable_cut,8195,1,133464.9
anchor_drag,8199,1,28374.6
insulation_failure,8245,1,185151.4
insulation_failure,8307,1,150764.8
anchor_drag,8357,1,174702.9
insulation_failure,8398,1,41175.2
cable_cut,8437,1,153109.5
insulation_failure,8506,1,176474.5
insulation_failure,8582,1,56835.2
cable_cut,8608,2,96739.9
anchor_drag,8690,1,131900.8
anchor_drag,8846,1,86213.1
insulation_failure,8926,1,105800.6
cable_cut,9014,3,129136.3
anchor_drag,9018,1,15535.4
insulation_failure,9084,1,163277.8
anchor_drag,9174,2,115117.6
cable_cut,9414,1,63334.0
cable_cut,9493,1,17931.8
anchor_drag,9576,1,92072.5
insulation_failure,9613,1,69779.5
cable_cut,9653,2,131111.2
cable_cut,9659,1,139975.3
cable_cut,9663,2,25315.4
cable_cut,9667,1,132476.1
anchor_drag,9758,1,73359.4
insulation_failure,9764,1,199364.7
cable_cut,9822,1,193000.0
cable_cut,9830,1,195294.3
insulation_failure,9974,1,190516.2
